From	To	Species	Gene Name
3418	ENSG00000182054	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 2(IDH2)
5837	ENSG00000068976	Homo sapiens	glycogen phosphorylase, muscle associated(PYGM)
66002	ENSG00000186204	Homo sapiens	cytochrome P450 family 4 subfamily F member 12(CYP4F12)
64064	ENSG00000198754	Homo sapiens	3-oxoacid CoA-transferase 2(OXCT2)
2584	ENSG00000108479	Homo sapiens	galactokinase 1(GALK1)
144193	ENSG00000139344	Homo sapiens	amidohydrolase domain containing 1(AMDHD1)
2583	ENSG00000135454	Homo sapiens	beta-1,4-N-acetyl-galactosaminyltransferase 1(B4GALNT1)
2582	ENSG00000117308	Homo sapiens	UDP-galactose-4-epimerase(GALE)
2581	ENSG00000054983	Homo sapiens	galactosylceramidase(GALC)
54020	ENSG00000160190	Homo sapiens	solute carrier family 37 member 1(SLC37A1)
1491	ENSG00000116761	Homo sapiens	cystathionine gamma-lyase(CTH)
55350	ENSG00000293493	Homo sapiens	vanin 3, pseudogene(VNN3P)
81616	ENSG00000130377	Homo sapiens	acyl-CoA synthetase bubblegum family member 2(ACSBG2)
4519	ENSG00000198727	Homo sapiens	mitochondrially encoded cytochrome b(MT-CYB)
100137049	ENSG00000243708	Homo sapiens	phospholipase A2 group IVB(PLA2G4B)
1244	ENSG00000023839	Homo sapiens	ATP binding cassette subfamily C member 2(ABCC2)
3422	ENSG00000067064	Homo sapiens	isopentenyl-diphosphate delta isomerase 1(IDI1)
3421	ENSG00000067829	Homo sapiens	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma(IDH3G)
4512	ENSG00000198804	Homo sapiens	mitochondrially encoded cytochrome c oxidase I(MT-CO1)
4513	ENSG00000198712	Homo sapiens	mitochondrially encoded cytochrome c oxidase II(MT-CO2)
10400	ENSG00000133027	Homo sapiens	phosphatidylethanolamine N-methyltransferase(PEMT)
4514	ENSG00000198938	Homo sapiens	mitochondrially encoded cytochrome c oxidase III(MT-CO3)
10402	ENSG00000064225	Homo sapiens	ST3 beta-galactoside alpha-2,3-sialyltransferase 6(ST3GAL6)
4758	ENSG00000227315	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000184494	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000234846	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000227129	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000223957	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000228691	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000204386	Homo sapiens	neuraminidase 1(NEU1)
4758	ENSG00000234343	Homo sapiens	neuraminidase 1(NEU1)
64078	ENSG00000197506	Homo sapiens	solute carrier family 28 member 3(SLC28A3)
64077	ENSG00000107902	Homo sapiens	phospholysine phosphohistidine inorganic pyrophosphate phosphatase(LHPP)
5860	ENSG00000151552	Homo sapiens	quinoid dihydropteridine reductase(QDPR)
2595	ENSG00000214013	Homo sapiens	glucosidase alpha, neutral C(GANC)
339221	ENSG00000182156	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 7(ENPP7)
2110	ENSG00000171503	Homo sapiens	electron transfer flavoprotein dehydrogenase(ETFDH)
2352	ENSG00000110203	Homo sapiens	folate receptor gamma(FOLR3)
2593	ENSG00000130005	Homo sapiens	guanidinoacetate N-methyltransferase(GAMT)
2350	ENSG00000165457	Homo sapiens	folate receptor beta(FOLR2)
2592	ENSG00000213930	Homo sapiens	galactose-1-phosphate uridylyltransferase(GALT)
2591	ENSG00000115339	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 3(GALNT3)
55361	ENSG00000155252	Homo sapiens	phosphatidylinositol 4-kinase type 2 alpha(PI4K2A)
2590	ENSG00000143641	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 2(GALNT2)
2108	ENSG00000140374	Homo sapiens	electron transfer flavoprotein subunit alpha(ETFA)
2348	ENSG00000110195	Homo sapiens	folate receptor alpha(FOLR1)
2589	ENSG00000141429	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 1(GALNT1)
2588	ENSG00000141012	Homo sapiens	galactosamine (N-acetyl)-6-sulfatase(GALNS)
2585	ENSG00000156958	Homo sapiens	galactokinase 2(GALK2)
4522	ENSG00000100714	Homo sapiens	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1(MTHFD1)
4524	ENSG00000177000	Homo sapiens	methylenetetrahydrofolate reductase(MTHFR)
2109	ENSG00000105379	Homo sapiens	electron transfer flavoprotein subunit beta(ETFB)
64087	ENSG00000131844	Homo sapiens	methylcrotonyl-CoA carboxylase subunit 2(MCCC2)
64087	ENSG00000281742	Homo sapiens	methylcrotonyl-CoA carboxylase subunit 2(MCCC2)
64087	ENSG00000275300	Homo sapiens	methylcrotonyl-CoA carboxylase subunit 2(MCCC2)
4540	ENSG00000198786	Homo sapiens	mitochondrially encoded NADH dehydrogenase 5(MT-ND5)
4541	ENSG00000198695	Homo sapiens	mitochondrially encoded NADH dehydrogenase 6(MT-ND6)
5631	ENSG00000147224	Homo sapiens	phosphoribosyl pyrophosphate synthetase 1(PRPS1)
80308	ENSG00000160688	Homo sapiens	flavin adenine dinucleotide synthetase 1(FLAD1)
124583	ENSG00000171302	Homo sapiens	calcium activated nucleotidase 1(CANT1)
728226	ENSG00000274252	Homo sapiens	gamma-glutamyltransferase light chain family member 3(GGTLC3)
6718	ENSG00000122787	Homo sapiens	aldo-keto reductase family 1 member D1(AKR1D1)
2356	ENSG00000136877	Homo sapiens	folylpolyglutamate synthase(FPGS)
1267	ENSG00000173786	Homo sapiens	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)
2597	ENSG00000111640	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase(GAPDH)
6713	ENSG00000104549	Homo sapiens	squalene epoxidase(SQLE)
113451	ENSG00000142920	Homo sapiens	antizyme inhibitor 2(AZIN2)
4535	ENSG00000198888	Homo sapiens	mitochondrially encoded NADH dehydrogenase 1(MT-ND1)
64080	ENSG00000171174	Homo sapiens	ribokinase(RBKS)
847	ENSG00000121691	Homo sapiens	catalase(CAT)
4536	ENSG00000198763	Homo sapiens	mitochondrially encoded NADH dehydrogenase 2(MT-ND2)
6715	ENSG00000145545	Homo sapiens	steroid 5 alpha-reductase 1(SRD5A1)
5625	ENSG00000277196	Homo sapiens	proline dehydrogenase 1(PRODH)
5625	ENSG00000100033	Homo sapiens	proline dehydrogenase 1(PRODH)
4537	ENSG00000198840	Homo sapiens	mitochondrially encoded NADH dehydrogenase 3(MT-ND3)
10861	ENSG00000145217	Homo sapiens	solute carrier family 26 member 1(SLC26A1)
4538	ENSG00000198886	Homo sapiens	mitochondrially encoded NADH dehydrogenase 4(MT-ND4)
10864	ENSG00000137204	Homo sapiens	solute carrier family 22 member 7(SLC22A7)
4539	ENSG00000212907	Homo sapiens	mitochondrially encoded NADH 4L dehydrogenase(MT-ND4L)
6716	ENSG00000277893	Homo sapiens	steroid 5 alpha-reductase 2(SRD5A2)
66035	ENSG00000275744	Homo sapiens	solute carrier family 2 member 11(SLC2A11)
66035	ENSG00000133460	Homo sapiens	solute carrier family 2 member 11(SLC2A11)
113675	ENSG00000139410	Homo sapiens	serine dehydratase like(SDSL)
132158	ENSG00000168237	Homo sapiens	glycerate kinase(GLYCTK)
80339	ENSG00000100344	Homo sapiens	patatin like phospholipase domain containing 3(PNPLA3)
1040	ENSG00000163624	Homo sapiens	CDP-diacylglycerol synthase 1(CDS1)
84701	ENSG00000131055	Homo sapiens	cytochrome c oxidase subunit 4I2(COX4I2)
8908	ENSG00000056998	Homo sapiens	glycogenin 2(GYG2)
56474	ENSG00000047230	Homo sapiens	CTP synthase 2(CTPS2)
80347	ENSG00000068120	Homo sapiens	Coenzyme A synthase(COASY)
1036	ENSG00000129596	Homo sapiens	cysteine dioxygenase type 1(CDO1)
145226	ENSG00000139988	Homo sapiens	retinol dehydrogenase 12(RDH12)
5634	ENSG00000101911	Homo sapiens	phosphoribosyl pyrophosphate synthetase 2(PRPS2)
6723	ENSG00000116649	Homo sapiens	spermidine synthase(SRM)
4548	ENSG00000116984	Homo sapiens	5-methyltetrahydrofolate-homocysteine methyltransferase(MTR)
160851	ENSG00000102780	Homo sapiens	diacylglycerol kinase eta(DGKH)
91227	ENSG00000100121	Homo sapiens	gamma-glutamyltransferase light chain 2(GGTLC2)
376497	ENSG00000130304	Homo sapiens	solute carrier family 27 member 1(SLC27A1)
57571	ENSG00000172508	Homo sapiens	carnosine synthase 1(CARNS1)
79581	ENSG00000285112	Homo sapiens	solute carrier family 52 member 2(SLC52A2)
79581	ENSG00000185803	Homo sapiens	solute carrier family 52 member 2(SLC52A2)
5409	ENSG00000141744	Homo sapiens	phenylethanolamine N-methyltransferase(PNMT)
10846	ENSG00000112541	Homo sapiens	phosphodiesterase 10A(PDE10A)
10606	ENSG00000128050	Homo sapiens	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)
27034	ENSG00000151498	Homo sapiens	acyl-CoA dehydrogenase family member 8(ACAD8)
622	ENSG00000275544	Homo sapiens	3-hydroxybutyrate dehydrogenase 1(BDH1)
622	ENSG00000161267	Homo sapiens	3-hydroxybutyrate dehydrogenase 1(BDH1)
50940	ENSG00000128655	Homo sapiens	phosphodiesterase 11A(PDE11A)
10840	ENSG00000144908	Homo sapiens	aldehyde dehydrogenase 1 family member L1(ALDH1L1)
5406	ENSG00000175535	Homo sapiens	pancreatic lipase(PNLIP)
50700	ENSG00000080511	Homo sapiens	retinol dehydrogenase 8(RDH8)
5407	ENSG00000187021	Homo sapiens	pancreatic lipase related protein 1(PNLIPRP1)
5407	ENSG00000291891	Homo sapiens	pancreatic lipase related protein 1(PNLIPRP1)
10841	ENSG00000160282	Homo sapiens	formimidoyltransferase cyclodeaminase(FTCD)
10841	ENSG00000281775	Homo sapiens	formimidoyltransferase cyclodeaminase(FTCD)
6511	ENSG00000105143	Homo sapiens	solute carrier family 1 member 6(SLC1A6)
6510	ENSG00000105281	Homo sapiens	solute carrier family 1 member 5(SLC1A5)
7841	ENSG00000115275	Homo sapiens	mannosyl-oligosaccharide glucosidase(MOGS)
23563	ENSG00000135702	Homo sapiens	carbohydrate sulfotransferase 5(CHST5)
3000	ENSG00000132518	Homo sapiens	guanylate cyclase 2D, retinal(GUCY2D)
3242	ENSG00000158104	Homo sapiens	4-hydroxyphenylpyruvate dioxygenase(HPD)
6509	ENSG00000115902	Homo sapiens	solute carrier family 1 member 4(SLC1A4)
126328	ENSG00000174886	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A11(NDUFA11)
126328	ENSG00000292058	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A11(NDUFA11)
873	ENSG00000159228	Homo sapiens	carbonyl reductase 1(CBR1)
875	ENSG00000160200	Homo sapiens	cystathionine beta-synthase(CBS)
1056	ENSG00000170835	Homo sapiens	carboxyl ester lipase(CEL)
54872	ENSG00000174227	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group)(PIGG)
635	ENSG00000145692	Homo sapiens	betaine--homocysteine S-methyltransferase(BHMT)
55967	ENSG00000184752	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A12(NDUFA12)
11343	ENSG00000074416	Homo sapiens	monoglyceride lipase(MGLL)
10257	ENSG00000125257	Homo sapiens	ATP binding cassette subfamily C member 4 (PEL blood group)(ABCC4)
6506	ENSG00000110436	Homo sapiens	solute carrier family 1 member 2(SLC1A2)
6505	ENSG00000106688	Homo sapiens	solute carrier family 1 member 1(SLC1A1)
4329	ENSG00000119711	Homo sapiens	aldehyde dehydrogenase 6 family member A1(ALDH6A1)
6508	ENSG00000114923	Homo sapiens	solute carrier family 4 member 3(SLC4A3)
6507	ENSG00000079215	Homo sapiens	solute carrier family 1 member 3(SLC1A3)
6520	ENSG00000168003	Homo sapiens	solute carrier family 3 member 2(SLC3A2)
8942	ENSG00000115919	Homo sapiens	kynureninase(KYNU)
6522	ENSG00000164889	Homo sapiens	solute carrier family 4 member 2(SLC4A2)
10020	ENSG00000159921	Homo sapiens	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase(GNE)
6521	ENSG00000004939	Homo sapiens	solute carrier family 4 member 1 (Diego blood group)(SLC4A1)
3251	ENSG00000165704	Homo sapiens	hypoxanthine phosphoribosyltransferase 1(HPRT1)
883	ENSG00000286112	Homo sapiens	kynurenine aminotransferase 1(KYAT1)
883	ENSG00000171097	Homo sapiens	kynurenine aminotransferase 1(KYAT1)
644	ENSG00000106605	Homo sapiens	biliverdin reductase A(BLVRA)
645	ENSG00000090013	Homo sapiens	biliverdin reductase B(BLVRB)
6513	ENSG00000117394	Homo sapiens	solute carrier family 2 member 1(SLC2A1)
6512	ENSG00000162383	Homo sapiens	solute carrier family 1 member 7(SLC1A7)
151531	ENSG00000007001	Homo sapiens	uridine phosphorylase 2(UPP2)
6515	ENSG00000059804	Homo sapiens	solute carrier family 2 member 3(SLC2A3)
6999	ENSG00000151790	Homo sapiens	tryptophan 2,3-dioxygenase(TDO2)
6999	ENSG00000262635	Homo sapiens	tryptophan 2,3-dioxygenase(TDO2)
6514	ENSG00000163581	Homo sapiens	solute carrier family 2 member 2(SLC2A2)
11112	ENSG00000106049	Homo sapiens	3-hydroxyisobutyrate dehydrogenase(HIBADH)
6517	ENSG00000288174	Homo sapiens	solute carrier family 2 member 4(SLC2A4)
6517	ENSG00000181856	Homo sapiens	solute carrier family 2 member 4(SLC2A4)
10026	ENSG00000142892	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class K(PIGK)
6519	ENSG00000138079	Homo sapiens	solute carrier family 3 member 1(SLC3A1)
6518	ENSG00000142583	Homo sapiens	solute carrier family 2 member 5(SLC2A5)
54407	ENSG00000134294	Homo sapiens	solute carrier family 38 member 2(SLC38A2)
1080	ENSG00000001626	Homo sapiens	CF transmembrane conductance regulator(CFTR)
4351	ENSG00000178802	Homo sapiens	mannose phosphate isomerase(MPI)
6531	ENSG00000276996	Homo sapiens	solute carrier family 6 member 3(SLC6A3)
6531	ENSG00000142319	Homo sapiens	solute carrier family 6 member 3(SLC6A3)
4594	ENSG00000146085	Homo sapiens	methylmalonyl-CoA mutase(MMUT)
4353	ENSG00000005381	Homo sapiens	myeloperoxidase(MPO)
6530	ENSG00000103546	Homo sapiens	solute carrier family 6 member 2(SLC6A2)
6533	ENSG00000131389	Homo sapiens	solute carrier family 6 member 6(SLC6A6)
113235	ENSG00000076351	Homo sapiens	solute carrier family 46 member 1(SLC46A1)
6532	ENSG00000108576	Homo sapiens	solute carrier family 6 member 4(SLC6A4)
4597	ENSG00000167508	Homo sapiens	mevalonate diphosphate decarboxylase(MVD)
23545	ENSG00000185344	Homo sapiens	ATPase H+ transporting V0 subunit a2(ATP6V0A2)
123041	ENSG00000140090	Homo sapiens	solute carrier family 24 member 4(SLC24A4)
51380	ENSG00000139631	Homo sapiens	cysteine sulfinic acid decarboxylase(CSAD)
206358	ENSG00000123643	Homo sapiens	solute carrier family 36 member 1(SLC36A1)
23305	ENSG00000164398	Homo sapiens	acyl-CoA synthetase long chain family member 6(ACSL6)
51382	ENSG00000100554	Homo sapiens	ATPase H+ transporting V1 subunit D(ATP6V1D)
410	ENSG00000100299	Homo sapiens	arylsulfatase A(ARSA)
412	ENSG00000101846	Homo sapiens	steroid sulfatase(STS)
2168	ENSG00000163586	Homo sapiens	fatty acid binding protein 1(FABP1)
55500	ENSG00000139163	Homo sapiens	ethanolamine kinase 1(ETNK1)
6524	ENSG00000140675	Homo sapiens	solute carrier family 5 member 2(SLC5A2)
55748	ENSG00000133313	Homo sapiens	carnosine dipeptidase 2(CNDP2)
8703	ENSG00000158850	Homo sapiens	beta-1,4-galactosyltransferase 3(B4GALT3)
11320	ENSG00000071073	Homo sapiens	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A(MGAT4A)
54659	ENSG00000288702	Homo sapiens	UDP glucuronosyltransferase family 1 member A3(UGT1A3)
6523	ENSG00000100170	Homo sapiens	solute carrier family 5 member 1(SLC5A1)
8704	ENSG00000117411	Homo sapiens	beta-1,4-galactosyltransferase 2(B4GALT2)
54658	ENSG00000241635	Homo sapiens	UDP glucuronosyltransferase family 1 member A1(UGT1A1)
6526	ENSG00000198743	Homo sapiens	solute carrier family 5 member 3(SLC5A3)
54657	ENSG00000244474	Homo sapiens	UDP glucuronosyltransferase family 1 member A4(UGT1A4)
79717	ENSG00000127125	Homo sapiens	phosphopantothenoylcysteine synthetase(PPCS)
54898	ENSG00000197977	Homo sapiens	ELOVL fatty acid elongase 2(ELOVL2)
6528	ENSG00000105641	Homo sapiens	solute carrier family 5 member 5(SLC5A5)
10476	ENSG00000167863	Homo sapiens	ATP synthase peripheral stalk subunit d(ATP5PD)
8705	ENSG00000235863	Homo sapiens	beta-1,3-galactosyltransferase 4(B3GALT4)
8705	ENSG00000236802	Homo sapiens	beta-1,3-galactosyltransferase 4(B3GALT4)
8705	ENSG00000226936	Homo sapiens	beta-1,3-galactosyltransferase 4(B3GALT4)
8705	ENSG00000206285	Homo sapiens	beta-1,3-galactosyltransferase 4(B3GALT4)
8705	ENSG00000235155	Homo sapiens	beta-1,3-galactosyltransferase 4(B3GALT4)
6529	ENSG00000157103	Homo sapiens	solute carrier family 6 member 1(SLC6A1)
8706	ENSG00000169255	Homo sapiens	beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)(B3GALNT1)
284273	ENSG00000180011	Homo sapiens	prostaglandin reductase 3(PTGR3)
2180	ENSG00000151726	Homo sapiens	acyl-CoA synthetase long chain family member 1(ACSL1)
6540	ENSG00000010379	Homo sapiens	solute carrier family 6 member 13(SLC6A13)
64220	ENSG00000288257	Homo sapiens	signaling receptor and transporter of retinol STRA6(STRA6)
64220	ENSG00000137868	Homo sapiens	signaling receptor and transporter of retinol STRA6(STRA6)
4121	ENSG00000111885	Homo sapiens	mannosidase alpha class 1A member 1(MAN1A1)
4363	ENSG00000278183	Homo sapiens	ATP binding cassette subfamily C member 1 (ABCC1 blood group)(ABCC1)
4363	ENSG00000103222	Homo sapiens	ATP binding cassette subfamily C member 1 (ABCC1 blood group)(ABCC1)
6542	ENSG00000003989	Homo sapiens	solute carrier family 7 member 2(SLC7A2)
5210	ENSG00000114268	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(PFKFB4)
4122	ENSG00000196547	Homo sapiens	mannosidase alpha class 2A member 2(MAN2A2)
6541	ENSG00000139514	Homo sapiens	solute carrier family 7 member 1(SLC7A1)
6783	ENSG00000109193	Homo sapiens	sulfotransferase family 1E member 1(SULT1E1)
5211	ENSG00000141959	Homo sapiens	phosphofructokinase, liver type(PFKL)
4124	ENSG00000112893	Homo sapiens	mannosidase alpha class 2A member 1(MAN2A1)
6543	ENSG00000118160	Homo sapiens	solute carrier family 8 member A2(SLC8A2)
6785	ENSG00000118402	Homo sapiens	ELOVL fatty acid elongase 4(ELOVL4)
5213	ENSG00000152556	Homo sapiens	phosphofructokinase, muscle(PFKM)
3034	ENSG00000084110	Homo sapiens	histidine ammonia-lyase(HAL)
3033	ENSG00000138796	Homo sapiens	hydroxyacyl-CoA dehydrogenase(HADH)
3032	ENSG00000138029	Homo sapiens	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta(HADHB)
2184	ENSG00000103876	Homo sapiens	fumarylacetoacetate hydrolase(FAH)
3030	ENSG00000084754	Homo sapiens	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha(HADHA)
23556	ENSG00000197563	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class N(PIGN)
2182	ENSG00000068366	Homo sapiens	acyl-CoA synthetase long chain family member 4(ACSL4)
2181	ENSG00000123983	Homo sapiens	acyl-CoA synthetase long chain family member 3(ACSL3)
10007	ENSG00000113552	Homo sapiens	glucosamine-6-phosphate deaminase 1(GNPDA1)
125206	ENSG00000154025	Homo sapiens	solute carrier family 5 member 10(SLC5A10)
3029	ENSG00000063854	Homo sapiens	hydroxyacylglutathione hydrolase(HAGH)
3028	ENSG00000072506	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 10(HSD17B10)
55512	ENSG00000103056	Homo sapiens	sphingomyelin phosphodiesterase 3(SMPD3)
341947	ENSG00000277018	Homo sapiens	cytochrome c oxidase subunit 8C(COX8C)
341947	ENSG00000187581	Homo sapiens	cytochrome c oxidase subunit 8C(COX8C)
6535	ENSG00000130821	Homo sapiens	solute carrier family 6 member 8(SLC6A8)
6535	ENSG00000273554	Homo sapiens	solute carrier family 6 member 8(SLC6A8)
4598	ENSG00000110921	Homo sapiens	mevalonate kinase(MVK)
8714	ENSG00000108846	Homo sapiens	ATP binding cassette subfamily C member 3(ABCC3)
4357	ENSG00000128309	Homo sapiens	mercaptopyruvate sulfurtransferase(MPST)
6534	ENSG00000011083	Homo sapiens	solute carrier family 6 member 7(SLC6A7)
427	ENSG00000104763	Homo sapiens	N-acylsphingosine amidohydrolase 1(ASAH1)
669	ENSG00000172331	Homo sapiens	bisphosphoglycerate mutase(BPGM)
5446	ENSG00000105852	Homo sapiens	paraoxonase 3(PON3)
5447	ENSG00000127948	Homo sapiens	cytochrome p450 oxidoreductase(POR)
6536	ENSG00000196517	Homo sapiens	solute carrier family 6 member 9(SLC6A9)
11332	ENSG00000097021	Homo sapiens	acyl-CoA thioesterase 7(ACOT7)
10246	ENSG00000112337	Homo sapiens	solute carrier family 17 member 2(SLC17A2)
6539	ENSG00000111181	Homo sapiens	solute carrier family 6 member 12(SLC6A12)
